"행정구역","2013년_총인구수","2013년_세대수","2013년_세대당 인구","2013년_남자 인구수","2013년_여자 인구수","2013년_남여 비율","2014년_총인구수","2014년_세대수","2014년_세대당 인구","2014년_남자 인구수","2014년_여자 인구수","2014년_남여 비율","2015년_총인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율"
"서울특별시  (1100000000)","10,143,645","4,182,351","          2.43","5,007,869","5,135,776","          0.98","10,103,233","4,194,176","          2.41","4,979,768","5,123,465","          0.97","10,022,181","4,189,948","          2.39","4,930,943","5,091,238","          0.97","9,930,616","4,189,839","          2.37","4,876,789","5,053,827","          0.96","9,857,426","4,220,082","          2.34","4,830,206","5,027,220","          0.96","9,765,623","4,263,868","          2.29","4,773,899","4,991,724","          0.96","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95","9,668,465","4,417,954","          2.19","4,701,723","4,966,742","          0.95","9,509,458","4,426,007","          2.15","4,618,040","4,891,418","          0.94","9,428,372","4,446,296","          2.12","4,570,048","4,858,324","          0.94"
"서울특별시 종로구 (1111000000)","160,070","73,693","          2.17","79,519","80,551","          0.99","156,993","73,101","          2.15","77,621","79,372","          0.98","154,986","72,645","          2.13","76,548","78,438","          0.98","152,737","72,118","          2.12","75,201","77,536","          0.97","154,770","73,594","          2.10","75,967","78,803","          0.96","153,065","73,735","          2.08","74,825","78,240","          0.96","151,290","73,947","          2.05","73,746","77,544","          0.95","149,384","75,003","          1.99","72,635","76,749","          0.95","144,683","73,494","          1.97","70,183","74,500","          0.94","141,379","72,524","          1.95","68,395","72,984","          0.94"
"서울특별시 중구 (1114000000)","130,465","60,600","          2.15","65,371","65,094","          1.00","128,065","59,960","          2.14","64,033","64,032","          1.00","125,733","59,321","          2.12","62,687","63,046","          0.99","125,249","59,651","          2.10","62,204","63,045","          0.99","125,709","60,412","          2.08","62,253","63,456","          0.98","125,725","61,502","          2.04","61,947","63,778","          0.97","126,171","62,739","          2.01","61,910","64,261","          0.96","125,240","63,686","          1.97","61,222","64,018","          0.96","122,499","63,519","          1.93","59,630","62,869","          0.95","120,437","63,139","          1.91","58,563","61,874","          0.95"
"서울특별시 용산구 (1117000000)","239,740","109,361","          2.19","116,491","123,249","          0.95","235,951","108,429","          2.18","114,578","121,373","          0.94","233,342","107,512","          2.17","113,177","120,165","          0.94","230,241","106,607","          2.16","111,601","118,640","          0.94","229,161","107,666","          2.13","110,878","118,283","          0.94","228,999","108,974","          2.10","110,640","118,359","          0.93","228,670","110,126","          2.08","110,356","118,314","          0.93","230,040","113,093","          2.03","110,722","119,318","          0.93","222,953","111,036","          2.01","107,210","115,743","          0.93","218,650","109,805","          1.99","105,087","113,563","          0.93"
"서울특별시 성동구 (1120000000)","299,337","126,447","          2.37","149,304","150,033","          1.00","296,086","125,814","          2.35","147,363","148,723","          0.99","297,003","126,714","          2.34","147,570","149,433","          0.99","299,259","128,727","          2.32","148,326","150,933","          0.98","304,808","132,902","          2.29","150,368","154,440","          0.97","308,221","137,209","          2.25","151,359","156,862","          0.96","300,889","135,838","          2.22","147,273","153,616","          0.96","293,556","135,870","          2.16","143,387","150,169","          0.95","285,990","134,233","          2.13","139,380","146,610","          0.95","281,000","133,305","          2.11","136,633","144,367","          0.95"
"서울특별시 광진구 (1121500000)","368,927","159,173","          2.32","181,864","187,063","          0.97","363,354","158,524","          2.29","178,738","184,616","          0.97","360,369","158,353","          2.28","176,884","183,485","          0.96","357,215","158,390","          2.26","174,797","182,418","          0.96","357,703","160,798","          2.22","174,414","183,289","          0.95","355,559","162,606","          2.19","172,794","182,765","          0.95","351,350","164,428","          2.14","170,262","181,088","          0.94","346,682","167,427","          2.07","167,310","179,372","          0.93","339,996","167,949","          2.02","164,058","175,938","          0.93","337,416","169,291","          1.99","162,541","174,875","          0.93"
"서울특별시 동대문구 (1123000000)","364,273","159,256","          2.29","182,987","181,286","          1.01","363,687","159,880","          2.27","182,510","181,177","          1.01","360,153","159,941","          2.25","180,485","179,668","          1.00","355,069","159,426","          2.23","177,640","177,429","          1.00","350,647","159,938","          2.19","175,324","175,323","          1.00","348,052","161,820","          2.15","173,567","174,485","          0.99","346,194","164,191","          2.11","172,113","174,081","          0.99","342,837","167,598","          2.05","169,769","173,068","          0.98","337,400","168,219","          2.01","166,646","170,754","          0.98","336,644","169,873","          1.98","165,755","170,889","          0.97"
"서울특별시 중랑구 (1126000000)","416,798","174,938","          2.38","208,641","208,157","          1.00","418,836","176,714","          2.37","209,323","209,513","          1.00","413,909","176,390","          2.35","206,505","207,404","          1.00","411,005","177,400","          2.32","204,900","206,105","          0.99","408,226","179,132","          2.28","203,325","204,901","          0.99","403,209","180,511","          2.23","200,419","202,790","          0.99","397,015","181,579","          2.19","196,959","200,056","          0.98","394,702","185,920","          2.12","195,165","199,537","          0.98","387,350","185,712","          2.09","191,112","196,238","          0.97","385,318","187,413","          2.06","189,537","195,781","          0.97"
"서울특별시 성북구 (1129000000)","476,589","196,693","          2.42","234,573","242,016","          0.97","466,706","193,359","          2.41","229,205","237,501","          0.97","459,275","190,973","          2.40","224,980","234,295","          0.96","450,355","188,304","          2.39","219,951","230,404","          0.95","444,055","187,112","          2.37","216,556","227,499","          0.95","435,868","186,601","          2.34","211,904","223,964","          0.95","442,650","192,592","          2.30","214,437","228,213","          0.94","437,153","195,396","          2.24","210,810","226,343","          0.93","430,528","195,017","          2.21","207,578","222,950","          0.93","430,397","197,082","          2.18","206,961","223,436","          0.93"
"서울특별시 강북구 (1130500000)","338,707","141,246","          2.40","167,342","171,365","          0.98","335,025","141,246","          2.37","165,223","169,802","          0.97","330,873","141,088","          2.35","162,967","167,906","          0.97","327,195","141,229","          2.32","160,861","166,334","          0.97","324,479","142,533","          2.28","158,918","165,561","          0.96","319,164","143,395","          2.23","156,071","163,093","          0.96","313,954","144,277","          2.18","153,235","160,719","          0.95","308,055","145,896","          2.11","150,143","157,912","          0.95","299,182","144,536","          2.07","145,705","153,477","          0.95","293,660","144,313","          2.03","142,567","151,093","          0.94"
